date,neg,neu,pos,compound
2012-03-14,0.1512,0.7715000000000001,0.0774,-0.23308999999999996
2012-03-15,0.032,0.9014,0.06670000000000001,0.16898
2012-03-16,0.1512,0.8069000000000001,0.0419,-0.21305999999999997
2012-03-17,0.2144,0.7712,0.0144,-0.40869
2012-03-18,0.09069999999999999,0.8801,0.029199999999999997,-0.19577
2012-03-19,0.1264,0.8074999999999999,0.0661,-0.15899000000000002
2012-03-20,0.11120000000000001,0.826,0.0629,-0.10180000000000003
2012-03-21,0.10840000000000001,0.8624,0.029200000000000004,-0.13010000000000002
2012-03-22,0.1288,0.8574000000000002,0.013800000000000002,-0.20518
2012-03-23,0.1407,0.8056000000000001,0.053700000000000005,-0.17968
2012-03-24,0.17640000000000003,0.7698,0.05389999999999999,-0.38963000000000003
